Unnamed: 0,ID,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
302,tt1102297,Paranju Theeratha Visheshangal,2007,0.0,6.3,6.0,-,malayalam
303,tt6957140,Banna Bannada Baduku,2017,0.0,0.0,0.0,Drama            ,kannada
304,tt9081472,Aickarakkonathe Bhishaguaranmaar,2018,144.0,7.8,239.0,Drama            ,malayalam
305,tt0252636,Laxmi,1957,118.0,0.0,0.0,"Drama, Family            ",hindi
306,tt8793888,Patukunte Padivelu,1967,145.0,0.0,0.0,Drama            ,telugu
307,tt4614164,Radha Ghelo Kan,1991,0.0,0.0,0.0,Drama            ,gujarati
308,tt1569529,"U, Bomsi N Me",2005,0.0,7.4,13.0,Comedy            ,hindi
309,tt10895802,Les Larmes Noires,2015,127.0,0.0,0.0,Documentary            ,urdu
310,tt0247946,Baeelveda,1979,0.0,0.0,0.0,-,marathi
311,tt10852008,Balakot: the true story,2020,0.0,0.0,0.0,Action            ,hindi
312,tt5426752,Maan Marjada,1991,137.0,0.0,0.0,Drama            ,bengali
